cliente_id,data_solicitacao,valor_solicitado,finalidade_credito,motivo_negativa,tentou_novamente
C121598,2024-03-24,2342.4,Empréstimo Pessoal,Renda Insuficiente,Não
C040441,2023-12-24,2989.24,Compra Parcelada,Histórico de Inadimplência,Não
C009340,2024-09-13,1363.82,Cartão de Crédito,Histórico de Inadimplência,Não
C113649,2024-06-03,1832.73,Cartão de Crédito,Histórico de Inadimplência,Sim
C029388,2024-01-07,1745.75,Cartão de Crédito,Documentação Incompleta,Sim
C126292,2024-03-01,2284.98,Empréstimo Pessoal,Score Baixo,Não
C003121,2025-01-21,2046.19,Cartão de Crédito,Score Baixo,Não
C082613,2023-12-24,4395.46,Compra Parcelada,Renda Insuficiente,Não
C096554,2024-09-14,1732.72,Renegociação de Dívidas,Renda Insuficiente,Não
C049287,2025-05-09,1268.06,Empréstimo Pessoal,Renda Insuficiente,Não
C148586,2024-02-09,1926.13,Cartão de Crédito,Score Baixo,Sim
C034193,2023-12-06,2227.66,Cartão de Crédito,Inconsistência Cadastral,Não
C030245,2024-07-17,2326.0,Cartão de Crédito,Renda Insuficiente,Não
C067625,2024-06-16,2418.28,Empréstimo Pessoal,Renda Insuficiente,Não
C050121,2024-01-20,1646.27,Renegociação de Dívidas,Inconsistência Cadastral,Sim
C075223,2024-01-23,2406.34,Cartão de Crédito,Renda Insuficiente,Não
C065955,2025-04-01,3168.91,Compra Parcelada,Renda Insuficiente,Não
C030663,2025-06-02,1640.83,Cartão de Crédito,Renda Insuficiente,Não
C006857,2023-10-24,2549.0,Limite Conta,Documentação Incompleta,Não
C122183,2024-03-02,3376.5,Limite Conta,Inconsistência Cadastral,Não
C082353,2024-11-21,2338.27,Limite Conta,Documentação Incompleta,Não
C015117,2024-08-07,2004.81,Empréstimo Pessoal,Score Baixo,Não
C134027,2024-12-03,2528.3,Cartão de Crédito,Renda Insuficiente,Não
C006804,2023-11-25,2533.54,Compra Parcelada,Renda Insuficiente,Não
C140846,2023-10-02,3500.81,Limite Conta,Score Baixo,Não
C027266,2023-07-17,2668.5,Cartão de Crédito,Inconsistência Cadastral,Não
C089468,2025-03-05,3107.84,Cartão de Crédito,Renda Insuficiente,Sim
C139088,2025-04-12,2999.71,Empréstimo Pessoal,Score Baixo,Não
C056267,2023-10-03,1953.42,Cartão de Crédito,Inconsistência Cadastral,Não
C006880,2024-05-12,1153.24,Cartão de Crédito,Documentação Incompleta,Não
C029928,2023-11-29,2035.98,Empréstimo Pessoal,Score Baixo,Não
C021223,2023-12-22,4025.97,Renegociação de Dívidas,Renda Insuficiente,Não
C063140,2023-07-16,3131.5,Renegociação de Dívidas,Score Baixo,Sim
C024361,2025-04-17,4141.02,Compra Parcelada,Score Baixo,Sim
